pedido_id,cliente_id,data_pedido,status,canal_venda,desconto_percentual
58,4,2025-06-27,Cancelado,Online,0
59,1,2025-08-26,Concluído,Marketplace,0
60,2,2025-03-03,Concluído,Representante,0.05
61,7,2025-11-27,Em processamento,Representante,0
62,10,2025-02-11,Concluído,Representante,0.05
63,3,2025-12-04,Concluído,Marketplace,0.03
64,9,2025-01-02,Cancelado,Representante,0.03
65,11,2026-03-29,Concluído,Online,0
66,12,2025-06-12,Concluído,Marketplace,0
67,4,2026-04-13,Cancelado,Online,0.03
68,9,2025-10-01,Concluído,Representante,0.1
69,8,2025-11-26,Concluído,Marketplace,0
70,9,2025-12-06,Concluído,Representante,0
71,6,2026-01-25,Concluído,Marketplace,0.1
72,8,2025-06-20,Concluído,Online,0
73,3,2025-06-29,Concluído,Marketplace,0.03
74,11,2025-01-10,Concluído,Representante,0.1
75,8,2025-11-06,Concluído,Representante,0.03
76,1,2026-02-10,Concluído,Online,0.05
77,11,2025-07-14,Em processamento,Representante,0.1
78,2,2025-10-30,Concluído,Marketplace,0.03
79,8,2025-10-30,Concluído,Online,0.03
80,2,2026-02-09,Concluído,Representante,0.05
81,2,2025-08-28,Concluído,Online,0.05
82,8,2025-04-29,Concluído,Online,0.05
83,7,2025-04-12,Concluído,Marketplace,0.03
84,11,2026-01-12,Cancelado,Marketplace,0
85,8,2025-04-04,Concluído,Marketplace,0.1
86,2,2025-08-01,Em processamento,Online,0
87,2,2025-01-27,Concluído,Online,0
88,12,2025-03-07,Concluído,Representante,0
89,12,2026-06-18,Concluído,Representante,0.1
90,12,2026-03-31,Concluído,Online,0
91,8,2026-06-02,Em processamento,Representante,0
92,6,2026-04-10,Concluído,Representante,0.1
93,11,2026-05-01,Concluído,Online,0
94,10,2025-12-04,Concluído,Representante,0
95,2,2025-12-25,Cancelado,Representante,0
96,1,2025-07-04,Concluído,Marketplace,0
97,2,2026-06-28,Concluído,Representante,0.03
98,11,2025-03-25,Concluído,Representante,0.1
99,9,2025-11-12,Concluído,Online,0.03
100,5,2025-10-24,Concluído,Online,0
101,7,2025-01-20,Concluído,Online,0
102,12,2026-01-06,Concluído,Representante,0
103,4,2025-12-08,Concluído,Online,0.05
104,4,2025-04-16,Concluído,Representante,0
105,11,2025-11-27,Concluído,Online,0.03
106,6,2026-06-04,Concluído,Representante,0.03
107,8,2025-07-12,Concluído,Marketplace,0.03
108,4,2026-03-25,Concluído,Marketplace,0.05
109,11,2025-12-09,Concluído,Representante,0
110,11,2026-02-06,Concluído,Marketplace,0.1
111,11,2026-06-24,Concluído,Marketplace,0.1
112,2,2025-10-30,Concluído,Marketplace,0.05
113,3,2025-06-19,Concluído,Online,0.03
114,4,2026-01-12,Em processamento,Representante,0.03
115,11,2026-05-08,Concluído,Marketplace,0
116,7,2025-04-04,Concluído,Representante,0
117,2,2026-01-19,Concluído,Online,0
118,12,2025-05-23,Concluído,Representante,0.05
119,2,2025-10-23,Concluído,Representante,0
120,10,2025-01-17,Cancelado,Marketplace,0
121,10,2026-03-03,Concluído,Marketplace,0.1
122,11,2026-02-01,Concluído,Representante,0.1
123,10,2025-12-07,Concluído,Online,0
124,1,2025-10-28,Concluído,Online,0
125,5,2025-02-07,Concluído,Representante,0
126,7,2026-03-27,Concluído,Representante,0
127,2,2025-12-02,Concluído,Representante,0.03
128,2,2026-02-20,Concluído,Marketplace,0.1
129,6,2026-01-28,Em processamento,Online,0.05
130,7,2025-11-18,Concluído,Online,0
131,5,2025-09-24,Concluído,Online,0.05
132,2,2025-11-24,Concluído,Marketplace,0
133,4,2026-05-21,Concluído,Representante,0.05
134,9,2026-02-25,Concluído,Marketplace,0
135,9,2025-07-06,Concluído,Representante,0.05
136,12,2025-08-19,Concluído,Marketplace,0
137,9,2025-06-22,Em processamento,Marketplace,0
138,11,2025-08-04,Em processamento,Representante,0.05
139,4,2026-02-20,Concluído,Representante,0
140,10,2025-05-28,Concluído,Marketplace,0
141,8,2025-09-11,Concluído,Online,0
142,4,2025-06-13,Concluído,Marketplace,0.03
143,5,2026-05-22,Em processamento,Marketplace,0.1
144,10,2025-07-19,Concluído,Marketplace,0
145,3,2025-04-10,Concluído,Representante,0
146,8,2026-06-16,Concluído,Online,0.05
147,10,2025-12-11,Cancelado,Marketplace,0.05
148,10,2026-05-01,Concluído,Marketplace,0.05
149,1,2025-04-23,Concluído,Online,0.03
150,12,2025-05-22,Cancelado,Online,0.05
151,11,2025-09-28,Em processamento,Representante,0
152,12,2026-05-16,Concluído,Representante,0
153,5,2025-02-13,Concluído,Marketplace,0
154,3,2025-04-22,Em processamento,Marketplace,0.05
155,12,2026-04-29,Concluído,Marketplace,0
156,6,2025-10-20,Concluído,Online,0.1
157,8,2025-07-10,Concluído,Online,0
158,9,2026-04-25,Concluído,Online,0
159,3,2026-02-20,Concluído,Marketplace,0
160,6,2025-09-12,Concluído,Representante,0.03
161,5,2026-01-04,Concluído,Online,0.1
162,12,2025-05-01,Concluído,Representante,0.05
163,7,2026-04-28,Cancelado,Marketplace,0
164,10,2025-04-25,Concluído,Marketplace,0.05
165,2,2026-06-07,Concluído,Online,0.03
166,7,2025-09-18,Concluído,Marketplace,0
167,2,2026-04-29,Concluído,Representante,0.03
168,2,2025-05-17,Concluído,Online,0
169,4,2026-04-17,Concluído,Online,0
170,10,2025-02-04,Concluído,Marketplace,0.1
171,1,2025-05-24,Cancelado,Representante,0
172,5,2025-03-04,Cancelado,Marketplace,0.1
173,9,2025-11-23,Concluído,Representante,0
174,8,2025-03-01,Cancelado,Representante,0.03
175,8,2026-01-15,Concluído,Marketplace,0.1
176,10,2025-08-11,Concluído,Online,0
177,5,2026-01-25,Concluído,Marketplace,0.1
178,6,2025-07-28,Concluído,Representante,0.03
179,5,2025-06-06,Concluído,Representante,0
180,3,2026-05-16,Concluído,Marketplace,0.1
