pagamento_id,pedido_id,forma_pagamento,valor_pago,data_vencimento,data_pagamento,status_pagamento
72,72,Cartão,16680.0,2025-06-27,2025-06-29,Pago
73,73,Boleto,1823.6,2025-07-29,2025-07-30,Pago
74,74,Boleto,4455.0,2025-01-25,2025-01-26,Pago
75,75,Boleto,698.4,2025-11-21,2025-11-26,Pago
76,76,Cartão,997.5,2026-02-17,2026-02-17,Pago
77,77,Cartão,5670.0,2025-08-13,2025-08-13,Pago
78,78,Boleto,4801.5,2025-11-14,,Pendente
79,79,Boleto,814.8,2025-11-29,,Atrasado
80,80,Boleto,997.5,2026-02-24,2026-03-06,Pago
81,81,Boleto,21346.5,2025-08-28,2025-08-28,Pago
82,82,Cartão,4275.0,2025-05-29,2025-06-03,Pago
83,83,PIX,16179.6,2025-04-19,,Pendente
84,84,PIX,3600.0,2026-01-19,,Cancelado
85,85,Cartão,11340.0,2025-04-11,,Atrasado
86,86,Cartão,5200.0,2025-08-08,2025-08-18,Pago
87,87,PIX,15900.0,2025-01-27,2025-01-28,Pago
88,88,PIX,1750.0,2025-03-14,,Atrasado
89,89,Transferência,15120.0,2026-07-18,2026-07-18,Pago
90,90,Boleto,5800.0,2026-04-15,2026-04-17,Pago
91,91,Transferência,720.0,2026-07-02,,Pendente
92,92,Cartão,5940.0,2026-04-25,2026-04-25,Pago
93,93,PIX,1200.0,2026-05-16,,Pendente
94,94,Cartão,21970.0,2025-12-11,2025-12-12,Pago
95,95,Boleto,8650.0,2025-12-25,,Cancelado
96,96,PIX,29700.0,2025-07-04,2025-07-09,Pago
97,97,PIX,13725.5,2026-06-28,2026-07-08,Pago
98,98,Transferência,4302.0,2025-04-09,2025-04-09,Pago
99,99,Cartão,8148.0,2025-11-27,,Atrasado
100,100,PIX,11350.0,2025-11-08,2025-11-18,Pago
101,101,Transferência,6830.0,2025-02-04,2025-02-06,Pago
102,102,Boleto,7750.0,2026-01-06,2026-01-06,Pago
103,103,Cartão,513.0,2025-12-23,2026-01-02,Pago
104,104,Transferência,2820.0,2025-05-16,2025-05-18,Pago
105,105,PIX,1358.0,2025-12-12,,Pendente
106,106,PIX,14453.0,2026-07-04,2026-07-06,Pago
107,107,PIX,4597.8,2025-07-12,2025-07-12,Pago
108,108,PIX,6298.5,2026-04-24,2026-04-29,Pago
109,109,Boleto,5840.0,2025-12-16,,Pendente
110,110,Cartão,2655.0,2026-03-08,2026-03-08,Pago
111,111,Cartão,12924.0,2026-07-01,2026-07-01,Pago
112,112,Cartão,7837.5,2025-11-06,2025-11-06,Pago
113,113,Transferência,3026.4,2025-06-26,2025-07-06,Pago
114,114,PIX,6479.6,2026-01-19,,Pendente
115,115,Cartão,590.0,2026-05-15,2026-05-17,Pago
116,116,Transferência,1200.0,2025-05-04,2025-05-04,Pago
117,117,Transferência,3300.0,2026-01-26,2026-02-05,Pago
118,118,Transferência,1282.5,2025-06-07,2025-06-07,Pago
119,119,Transferência,720.0,2025-11-22,2025-12-02,Pago
120,120,Cartão,1490.0,2025-02-01,,Cancelado
121,121,PIX,1485.0,2026-03-03,2026-03-04,Pago
122,122,PIX,1485.0,2026-02-16,2026-02-21,Pago
123,123,Transferência,9780.0,2025-12-14,2025-12-24,Pago
124,124,Transferência,4950.0,2025-11-27,,Atrasado
125,125,Transferência,4950.0,2025-02-07,,Pendente
126,126,PIX,7420.0,2026-04-03,2026-04-03,Pago
127,127,PIX,5451.4,2026-01-01,2026-01-11,Pago
128,128,Boleto,23760.0,2026-02-20,2026-02-20,Pago
129,129,Boleto,2593.5,2026-01-28,2026-01-30,Pago
130,130,PIX,1680.0,2025-12-18,,Pendente
131,131,Transferência,17907.5,2025-10-01,,Pendente
132,132,Cartão,11530.0,2025-12-01,2025-12-01,Pago
133,133,Transferência,6925.5,2026-05-21,2026-05-26,Pago
134,134,Cartão,3050.0,2026-03-27,2026-03-27,Pago
135,135,Boleto,6412.5,2025-07-13,2025-07-13,Pago
136,136,PIX,1180.0,2025-09-03,2025-09-03,Pago
137,137,Boleto,9450.0,2025-06-22,2025-06-27,Pago
138,138,Transferência,1662.5,2025-08-19,2025-08-19,Pago
139,139,Boleto,1680.0,2026-03-22,2026-03-22,Pago
140,140,Boleto,13170.0,2025-06-12,2025-06-12,Pago
141,141,Boleto,6680.0,2025-09-26,,Atrasado
142,142,PIX,22659.2,2025-06-20,2025-06-20,Pago
143,143,PIX,18549.0,2026-06-21,2026-06-22,Pago
144,144,PIX,6000.0,2025-08-18,2025-08-18,Pago
145,145,Boleto,10450.0,2025-04-10,2025-04-10,Pago
146,146,Boleto,5823.5,2026-07-16,,Atrasado
147,147,PIX,19807.5,2025-12-26,,Cancelado
148,148,Cartão,17081.0,2026-05-31,2026-06-05,Pago
149,149,PIX,8439.0,2025-05-23,,Pendente
150,150,Boleto,2802.5,2025-06-06,,Cancelado
151,151,Cartão,2470.0,2025-10-13,2025-10-18,Pago
152,152,Cartão,21150.0,2026-05-31,,Atrasado
153,153,Boleto,5540.0,2025-02-28,,Atrasado
154,154,Boleto,8835.0,2025-04-29,2025-04-30,Pago
155,155,Boleto,1680.0,2026-05-29,2026-05-29,Pago
156,156,Transferência,17550.0,2025-10-20,,Atrasado
157,157,Cartão,13500.0,2025-08-09,,Pendente
158,158,Cartão,4740.0,2026-05-10,,Pendente
159,159,Transferência,1200.0,2026-02-27,,Atrasado
160,160,PIX,4510.5,2025-09-27,2025-09-29,Pago
161,161,Boleto,945.0,2026-01-11,2026-01-13,Pago
162,162,Boleto,3249.0,2025-05-31,2025-06-02,Pago
163,163,PIX,8350.0,2026-05-13,,Cancelado
164,164,Transferência,7609.5,2025-05-25,2025-05-25,Pago
165,165,PIX,5994.6,2026-07-07,2026-07-07,Pago
166,166,PIX,16800.0,2025-10-03,2025-10-05,Pago
167,167,Transferência,5121.6,2026-05-29,2026-05-30,Pago
168,168,Cartão,31770.0,2025-06-16,2025-06-26,Pago
169,169,PIX,26400.0,2026-04-17,2026-04-17,Pago
170,170,Cartão,162.0,2025-03-06,2025-03-08,Pago
171,171,Boleto,10890.0,2025-06-23,,Cancelado
172,172,Transferência,4851.0,2025-03-19,,Cancelado
173,173,Cartão,8680.0,2025-12-08,,Pendente
174,174,PIX,6111.0,2025-03-16,,Cancelado
175,175,Cartão,17010.0,2026-01-15,,Pendente
176,176,Boleto,12000.0,2025-08-18,2025-08-18,Pago
177,177,Transferência,8487.0,2026-01-25,,Pendente
178,178,Transferência,349.2,2025-07-28,2025-07-30,Pago
179,179,Cartão,5980.0,2025-06-13,2025-06-13,Pago
180,180,Cartão,3780.0,2026-05-16,2026-05-17,Pago
