item_id,pedido_id,produto_id,quantidade,preco_unitario
320,137,6,5,1650.0
321,137,7,1,1200.0
322,138,8,5,350.0
323,139,3,4,420.0
324,140,7,5,1200.0
325,140,2,5,1350.0
326,140,3,1,420.0
327,141,7,4,1200.0
328,141,8,2,350.0
329,141,5,2,590.0
330,142,5,4,590.0
331,142,4,5,180.0
332,142,1,4,4200.0
333,142,6,2,1650.0
334,143,5,4,590.0
335,143,8,2,350.0
336,143,1,3,4200.0
337,143,6,3,1650.0
338,144,7,5,1200.0
339,145,3,5,420.0
340,145,2,4,1350.0
341,145,5,5,590.0
342,146,6,3,1650.0
343,146,5,2,590.0
344,147,5,3,590.0
345,147,4,1,180.0
346,147,1,4,4200.0
347,147,3,5,420.0
348,148,1,4,4200.0
349,148,5,2,590.0
350,149,7,2,1200.0
351,149,2,4,1350.0
352,149,4,5,180.0
353,150,8,3,350.0
354,150,5,2,590.0
355,150,4,4,180.0
356,151,5,3,590.0
357,151,8,2,350.0
358,152,5,5,590.0
359,152,1,4,4200.0
360,152,8,4,350.0
361,153,8,4,350.0
362,153,6,2,1650.0
363,153,3,2,420.0
364,154,4,5,180.0
365,154,1,2,4200.0
366,155,3,4,420.0
367,156,1,4,4200.0
368,156,2,2,1350.0
369,157,2,4,1350.0
370,157,3,5,420.0
371,157,7,5,1200.0
372,158,3,3,420.0
373,158,6,2,1650.0
374,158,4,1,180.0
375,159,7,1,1200.0
376,160,8,3,350.0
377,160,7,3,1200.0
378,161,8,3,350.0
379,162,4,4,180.0
380,162,2,2,1350.0
381,163,2,4,1350.0
382,163,5,5,590.0
383,164,3,3,420.0
384,164,2,5,1350.0
385,165,7,5,1200.0
386,165,4,1,180.0
387,166,1,4,4200.0
388,167,3,4,420.0
389,167,7,3,1200.0
390,168,3,1,420.0
391,168,6,3,1650.0
392,168,2,4,1350.0
393,168,1,5,4200.0
394,169,2,4,1350.0
395,169,1,5,4200.0
396,170,4,1,180.0
397,171,6,2,1650.0
398,171,2,5,1350.0
399,171,3,2,420.0
400,172,7,4,1200.0
401,172,5,1,590.0
402,173,7,4,1200.0
403,173,2,2,1350.0
404,173,5,2,590.0
405,174,7,3,1200.0
406,174,2,2,1350.0
407,175,1,4,4200.0
408,175,3,5,420.0
409,176,1,1,4200.0
410,176,2,4,1350.0
411,176,7,2,1200.0
412,177,5,5,590.0
413,177,3,4,420.0
414,177,7,4,1200.0
415,178,4,2,180.0
416,179,4,3,180.0
417,179,8,4,350.0
418,179,5,4,590.0
419,179,3,4,420.0
420,180,1,1,4200.0
